verification_result,failed_attempts,verification_frequency,key_size,algorithm,hour,threat
1,4,21,2048,RSA-PSS,11,0
1,2,2,4096,RSA-PSS,15,0
0,4,15,2048,RSA-PSS,19,0
1,4,18,4096,RSA-PKCS1v15,9,0
1,0,11,4096,RSA-PSS,14,0
1,5,19,2048,RSA-PSS,9,0
1,2,20,4096,RSA-PSS,10,0
1,5,20,4096,RSA-PSS,7,0
1,1,19,4096,RSA-PSS,16,0
1,4,4,2048,RSA-PSS,11,0
1,1,11,4096,RSA-PKCS1v15,15,0
0,1,4,3072,RSA-PSS,15,0
0,0,24,4096,RSA-PKCS1v15,7,0
1,3,19,2048,RSA-PSS,9,0
1,1,20,3072,RSA-PSS,9,0
1,2,24,4096,RSA-PSS,8,0
1,3,22,2048,RSA-PSS,8,0
0,5,19,3072,RSA-PSS,9,0
0,5,6,2048,RSA-PSS,10,0
1,2,9,3072,RSA-PKCS1v15,7,0
1,3,18,3072,RSA-PSS,14,0
1,3,16,2048,RSA-PSS,13,0
0,3,9,4096,RSA-PKCS1v15,19,0
1,4,21,3072,RSA-PSS,17,0
1,3,21,4096,RSA-PSS,7,0
0,2,7,2048,RSA-PSS,16,0
1,4,19,4096,RSA-PSS,22,0
1,3,2,2048,RSA-PKCS1v15,17,0
1,4,12,3072,RSA-PSS,22,0
0,0,16,3072,RSA-PSS,9,0
1,1,25,3072,RSA-PSS,10,0
1,4,11,3072,RSA-PSS,10,0
1,5,25,3072,RSA-PKCS1v15,9,0
1,5,25,3072,RSA-PSS,15,0
1,0,23,3072,RSA-PSS,12,0
1,5,22,3072,RSA-PSS,22,0
1,1,13,2048,RSA-PKCS1v15,20,0
0,4,16,4096,RSA-PSS,9,0
1,3,15,4096,RSA-PSS,6,0
1,0,8,3072,RSA-PSS,14,0
1,1,5,2048,RSA-PSS,9,0
0,0,4,3072,RSA-PSS,15,0
1,1,20,3072,RSA-PKCS1v15,20,0
1,0,20,4096,RSA-PSS,16,0
1,0,15,2048,RSA-PSS,16,0
1,3,19,4096,RSA-PSS,6,0
1,0,18,2048,RSA-PSS,10,0
1,4,15,2048,RSA-PSS,20,0
0,4,5,2048,RSA-PKCS1v15,12,0
1,1,25,4096,RSA-PSS,16,0
1,2,21,3072,RSA-PSS,16,0
1,1,22,3072,RSA-PSS,15,0
1,5,15,3072,RSA-PSS,11,0
1,1,13,3072,RSA-PSS,12,0
1,2,7,2048,RSA-PKCS1v15,11,0
1,1,20,2048,RSA-PSS,20,0
1,0,12,3072,RSA-PSS,14,0
1,2,9,2048,RSA-PSS,10,0
1,0,12,4096,RSA-PKCS1v15,13,0
1,3,18,4096,RSA-PKCS1v15,20,0
1,4,23,3072,RSA-PSS,9,0
1,2,9,3072,RSA-PKCS1v15,19,0
1,1,5,2048,RSA-PSS,13,0
1,4,11,3072,RSA-PSS,15,0
1,2,8,2048,RSA-PKCS1v15,18,0
0,1,11,3072,RSA-PSS,12,0
1,5,12,3072,RSA-PSS,17,0
1,1,13,4096,RSA-PSS,10,0
1,1,13,3072,RSA-PSS,10,0
1,2,23,4096,RSA-PSS,11,0
1,3,20,2048,RSA-PSS,7,0
0,0,9,4096,RSA-PSS,13,0
0,1,14,3072,RSA-PKCS1v15,15,0
1,1,24,2048,RSA-PSS,7,0
1,4,4,4096,RSA-PSS,12,0
0,3,16,3072,RSA-PSS,16,0
1,5,9,3072,RSA-PSS,7,0
1,2,24,2048,RSA-PKCS1v15,19,0
1,3,23,2048,RSA-PSS,10,0
0,1,15,4096,RSA-PSS,10,0
1,2,6,3072,RSA-PKCS1v15,11,0
1,2,19,2048,RSA-PSS,6,0
1,0,1,2048,RSA-PSS,11,0
1,0,14,2048,RSA-PKCS1v15,6,0
1,5,23,4096,RSA-PSS,9,0
1,3,7,2048,RSA-PSS,15,0
1,2,15,3072,RSA-PSS,22,0
1,4,5,3072,RSA-PSS,11,0
1,3,1,3072,RSA-PSS,8,0
1,3,20,4096,RSA-PSS,14,0
1,0,5,4096,RSA-PSS,22,0
1,1,19,2048,RSA-PSS,14,0
1,2,2,4096,RSA-PSS,19,0
1,4,8,3072,RSA-PSS,8,0
1,5,15,2048,RSA-PSS,10,0
1,4,19,4096,RSA-PSS,10,0
0,0,19,3072,RSA-PSS,22,0
0,2,11,4096,RSA-PKCS1v15,7,0
1,4,20,2048,RSA-PSS,11,0
1,5,17,3072,RSA-PSS,21,0
1,5,16,3072,RSA-PSS,20,0
1,0,19,3072,RSA-PSS,19,0
1,0,18,2048,RSA-PSS,21,0
1,2,5,2048,RSA-PKCS1v15,8,0
1,5,20,2048,RSA-PKCS1v15,11,0
0,1,21,4096,RSA-PKCS1v15,15,0
1,0,1,4096,RSA-PSS,19,0
1,0,10,2048,RSA-PSS,19,0
0,1,3,4096,RSA-PKCS1v15,17,0
1,1,23,2048,RSA-PSS,10,0
1,2,13,4096,RSA-PSS,14,0
1,2,23,4096,RSA-PSS,17,0
1,2,1,2048,RSA-PSS,21,0
1,2,23,3072,RSA-PSS,22,0
1,5,2,3072,RSA-PKCS1v15,19,0
1,3,8,2048,RSA-PSS,19,0
1,4,14,2048,RSA-PSS,15,0
1,4,3,3072,RSA-PSS,20,0
1,3,13,4096,RSA-PSS,7,0
1,0,8,4096,RSA-PKCS1v15,15,0
1,1,19,2048,RSA-PSS,15,0
1,2,4,3072,RSA-PKCS1v15,15,0
1,4,7,3072,RSA-PSS,13,0
1,1,19,3072,RSA-PSS,18,0
1,2,9,2048,RSA-PSS,6,0
1,5,22,3072,RSA-PKCS1v15,22,0
1,5,18,2048,RSA-PSS,12,0
1,2,20,4096,RSA-PSS,11,0
1,1,7,3072,RSA-PSS,8,0
1,2,21,3072,RSA-PSS,14,0
0,5,20,2048,RSA-PKCS1v15,10,0
1,2,14,2048,RSA-PSS,10,0
1,4,12,3072,RSA-PSS,6,0
0,5,24,3072,RSA-PSS,18,0
1,5,13,4096,RSA-PKCS1v15,15,0
1,4,11,4096,RSA-PKCS1v15,14,0
1,0,4,4096,RSA-PKCS1v15,19,0
1,1,17,4096,RSA-PSS,15,0
1,1,19,3072,RSA-PSS,15,0
1,0,23,2048,RSA-PKCS1v15,14,0
1,3,1,4096,RSA-PSS,13,0
1,1,3,2048,RSA-PSS,11,0
1,0,17,3072,RSA-PKCS1v15,8,0
1,0,15,2048,RSA-PSS,15,0
1,3,11,3072,RSA-PSS,10,0
1,4,3,3072,RSA-PKCS1v15,8,0
1,5,10,3072,RSA-PSS,19,0
1,4,22,3072,RSA-PSS,9,0
1,4,7,4096,RSA-PSS,19,0
1,5,9,4096,RSA-PSS,21,0
1,3,15,2048,RSA-PSS,11,0
1,3,3,2048,RSA-PSS,11,0
1,5,19,4096,RSA-PSS,16,0
1,3,4,4096,RSA-PSS,21,0
1,5,23,4096,RSA-PSS,8,0
1,0,24,4096,RSA-PKCS1v15,11,0
1,4,17,2048,RSA-PSS,9,0
1,2,22,3072,RSA-PSS,7,0
1,1,15,2048,RSA-PSS,7,0
1,1,16,3072,RSA-PSS,19,0
1,5,2,3072,RSA-PKCS1v15,9,0
1,3,24,4096,RSA-PSS,21,0
1,2,13,2048,RSA-PSS,16,0
1,1,1,4096,RSA-PKCS1v15,7,0
1,2,17,4096,RSA-PSS,11,0
1,2,19,2048,RSA-PSS,15,0
1,5,10,2048,RSA-PSS,19,0
1,5,15,3072,RSA-PSS,20,0
1,0,1,3072,RSA-PSS,19,0
0,2,2,2048,RSA-PSS,13,0
1,5,13,4096,RSA-PSS,16,0
1,0,6,4096,RSA-PSS,10,0
1,2,24,3072,RSA-PSS,14,0
1,3,7,2048,RSA-PSS,19,0
1,2,1,2048,RSA-PSS,21,0
1,2,17,2048,RSA-PSS,8,0
1,1,15,3072,RSA-PSS,20,0
1,0,16,3072,RSA-PSS,22,0
1,3,3,4096,RSA-PSS,11,0
1,4,15,4096,RSA-PSS,7,0
1,3,4,3072,RSA-PSS,9,0
1,4,20,3072,RSA-PSS,15,0
1,3,9,2048,RSA-PSS,20,0
1,1,18,3072,RSA-PSS,6,0
1,3,5,3072,RSA-PSS,16,0
1,3,11,3072,RSA-PSS,12,0
1,2,1,2048,RSA-PSS,16,0
1,1,21,3072,RSA-PSS,14,0
1,2,12,4096,RSA-PSS,22,0
1,0,1,3072,RSA-PSS,18,0
1,0,10,2048,RSA-PKCS1v15,9,0
1,5,13,2048,RSA-PSS,10,0
1,3,8,3072,RSA-PSS,16,0
1,1,19,2048,RSA-PKCS1v15,19,0
1,2,2,2048,RSA-PKCS1v15,8,0
1,5,14,4096,RSA-PSS,7,0
1,3,12,2048,RSA-PSS,9,0
0,0,19,3072,RSA-PSS,6,0
1,1,2,3072,RSA-PSS,6,0
1,3,15,2048,RSA-PKCS1v15,15,0
0,3,16,3072,RSA-PSS,13,0
0,4,12,2048,RSA-PSS,9,0
1,4,21,3072,RSA-PSS,11,0
1,4,25,4096,RSA-PSS,12,0
1,0,23,3072,RSA-PKCS1v15,19,0
0,1,17,2048,RSA-PSS,6,0
0,4,22,3072,RSA-PSS,19,0
1,1,12,4096,RSA-PSS,9,0
0,0,5,3072,RSA-PSS,11,0
1,3,6,3072,RSA-PSS,6,0
0,4,15,2048,RSA-PSS,20,0
1,0,9,2048,RSA-PSS,12,0
1,2,16,3072,RSA-PSS,17,0
1,4,12,2048,RSA-PSS,9,0
1,1,6,3072,RSA-PSS,14,0
1,2,1,4096,RSA-PKCS1v15,18,0
1,3,10,2048,RSA-PSS,22,0
1,2,23,2048,RSA-PSS,6,0
0,3,5,4096,RSA-PSS,7,0
1,4,20,3072,RSA-PSS,16,0
1,0,5,3072,RSA-PSS,6,0
1,5,16,4096,RSA-PSS,20,0
1,5,7,2048,RSA-PSS,21,0
0,4,9,2048,RSA-PSS,9,0
1,4,11,4096,RSA-PSS,16,0
1,5,13,3072,RSA-PSS,6,0
1,5,1,2048,RSA-PKCS1v15,16,0
1,2,13,4096,RSA-PSS,15,0
1,3,14,3072,RSA-PSS,9,0
0,0,23,2048,RSA-PSS,9,0
1,2,11,3072,RSA-PSS,15,0
1,1,5,3072,RSA-PSS,19,0
1,0,14,4096,RSA-PKCS1v15,6,0
1,5,19,3072,RSA-PSS,17,0
1,4,2,4096,RSA-PSS,11,0
1,0,24,3072,RSA-PSS,15,0
1,2,5,2048,RSA-PSS,10,0
1,3,1,2048,RSA-PSS,15,0
1,5,8,3072,RSA-PSS,16,0
0,5,7,4096,RSA-PSS,10,0
1,1,23,2048,RSA-PSS,22,0
1,1,15,2048,RSA-PSS,11,0
1,1,3,3072,RSA-PKCS1v15,8,0
1,2,11,4096,RSA-PKCS1v15,11,0
1,5,14,2048,RSA-PSS,22,0
1,0,23,2048,RSA-PSS,22,0
0,3,15,2048,RSA-PSS,7,0
1,2,22,3072,RSA-PSS,20,0
1,5,12,3072,RSA-PSS,10,0
1,3,10,4096,RSA-PSS,8,0
1,4,8,4096,RSA-PSS,15,0
1,4,2,2048,RSA-PSS,13,0
1,0,22,3072,RSA-PSS,9,0
1,2,15,3072,RSA-PKCS1v15,22,0
1,5,8,4096,RSA-PSS,7,0
1,1,2,3072,RSA-PSS,13,0
1,1,1,4096,RSA-PSS,22,0
1,4,2,3072,RSA-PSS,13,0
1,5,5,3072,RSA-PSS,10,0
0,1,25,3072,RSA-PSS,16,0
1,0,13,2048,RSA-PSS,6,0
0,1,3,2048,RSA-PSS,18,0
1,2,7,4096,RSA-PSS,14,0
1,1,8,4096,RSA-PSS,7,0
1,1,4,2048,RSA-PKCS1v15,12,0
1,1,4,2048,RSA-PKCS1v15,20,0
1,1,20,2048,RSA-PSS,13,0
1,2,6,2048,RSA-PSS,8,0
1,2,22,4096,RSA-PSS,15,0
1,1,20,2048,RSA-PSS,7,0
1,3,15,3072,RSA-PSS,22,0
0,1,5,4096,RSA-PSS,12,0
1,1,10,3072,RSA-PSS,21,0
1,4,19,3072,RSA-PKCS1v15,15,0
1,5,4,2048,RSA-PKCS1v15,8,0
1,5,8,4096,RSA-PKCS1v15,20,0
1,5,13,3072,RSA-PSS,20,0
1,3,22,4096,RSA-PKCS1v15,10,0
1,5,11,2048,RSA-PSS,17,0
1,1,7,2048,RSA-PKCS1v15,13,0
1,0,18,3072,RSA-PKCS1v15,22,0
1,4,4,3072,RSA-PSS,11,0
1,3,19,4096,RSA-PSS,18,0
1,3,21,2048,RSA-PSS,8,0
1,3,21,2048,RSA-PKCS1v15,17,0
1,1,15,2048,RSA-PSS,17,0
0,1,16,4096,RSA-PSS,10,0
1,5,25,2048,RSA-PKCS1v15,10,0
0,5,7,2048,RSA-PSS,21,0
1,0,2,4096,RSA-PSS,18,0
1,0,20,4096,RSA-PKCS1v15,19,0
1,0,17,3072,RSA-PKCS1v15,12,0
1,0,18,2048,RSA-PKCS1v15,12,0
1,1,6,2048,RSA-PSS,13,0
1,2,18,4096,RSA-PKCS1v15,8,0
1,1,25,2048,RSA-PSS,12,0
1,1,11,3072,RSA-PSS,22,0
1,3,5,2048,RSA-PSS,22,0
1,5,25,4096,RSA-PSS,18,0
1,0,15,2048,RSA-PSS,20,0
1,3,16,4096,RSA-PSS,6,0
1,5,3,3072,RSA-PSS,17,0
1,3,17,3072,RSA-PSS,21,0
0,5,19,4096,RSA-PSS,17,0
0,5,16,2048,RSA-PKCS1v15,15,0
1,1,12,3072,RSA-PSS,21,0
1,1,6,3072,RSA-PSS,21,0
1,4,24,3072,RSA-PSS,17,0
1,5,24,2048,RSA-PKCS1v15,10,0
1,3,9,3072,RSA-PSS,13,0
1,0,16,4096,RSA-PSS,7,0
1,4,5,3072,RSA-PSS,21,0
1,0,4,3072,RSA-PKCS1v15,19,0
1,2,21,3072,RSA-PSS,18,0
0,4,23,2048,RSA-PSS,15,0
1,0,7,2048,RSA-PSS,6,0
1,5,10,3072,RSA-PKCS1v15,13,0
1,1,24,2048,RSA-PSS,7,0
1,4,17,3072,RSA-PKCS1v15,16,0
0,5,18,3072,RSA-PSS,7,0
1,1,2,4096,RSA-PSS,12,0
1,1,17,3072,RSA-PSS,6,0
1,0,10,2048,RSA-PKCS1v15,15,0
1,1,1,3072,RSA-PSS,21,0
1,5,8,4096,RSA-PKCS1v15,19,0
1,3,13,2048,RSA-PKCS1v15,6,0
0,3,13,3072,RSA-PSS,6,0
1,3,25,4096,RSA-PSS,17,0
1,5,21,3072,RSA-PSS,19,0
0,5,11,2048,RSA-PSS,22,0
1,4,6,3072,RSA-PSS,22,0
1,4,13,3072,RSA-PKCS1v15,17,0
1,2,6,2048,RSA-PKCS1v15,8,0
1,5,18,3072,RSA-PSS,21,0
1,5,5,3072,RSA-PSS,13,0
1,2,14,3072,RSA-PKCS1v15,12,0
1,2,25,2048,RSA-PSS,11,0
1,5,2,4096,RSA-PSS,17,0
1,4,10,3072,RSA-PSS,15,0
1,4,7,4096,RSA-PSS,17,0
1,0,13,2048,RSA-PSS,20,0
1,3,1,4096,RSA-PKCS1v15,14,0
1,4,17,4096,RSA-PSS,15,0
1,2,22,4096,RSA-PSS,20,0
0,5,14,4096,RSA-PSS,20,0
1,0,7,2048,RSA-PSS,21,0
1,5,3,3072,RSA-PKCS1v15,8,0
1,3,16,3072,RSA-PSS,22,0
0,0,10,2048,RSA-PSS,14,0
1,1,25,3072,RSA-PKCS1v15,21,0
1,3,21,4096,RSA-PSS,12,0
1,5,16,3072,RSA-PSS,6,0
1,3,3,2048,RSA-PSS,21,0
1,2,4,4096,RSA-PSS,9,0
1,2,7,2048,RSA-PSS,15,0
1,3,7,2048,RSA-PSS,18,0
1,4,21,2048,RSA-PSS,20,0
1,4,20,2048,RSA-PSS,8,0
0,0,21,2048,RSA-PKCS1v15,15,0
0,0,11,4096,RSA-PSS,18,0
1,5,16,2048,RSA-PSS,8,0
1,1,9,2048,RSA-PSS,12,0
1,1,15,2048,RSA-PSS,9,0
1,5,7,4096,RSA-PSS,9,0
1,0,8,4096,RSA-PSS,19,0
1,1,12,4096,RSA-PKCS1v15,20,0
1,1,22,4096,RSA-PSS,17,0
1,0,4,3072,RSA-PSS,14,0
1,1,8,4096,RSA-PSS,22,0
1,4,4,3072,RSA-PSS,21,0
1,1,14,4096,RSA-PSS,11,0
1,4,19,2048,RSA-PSS,21,0
1,2,8,4096,RSA-PKCS1v15,19,0
0,4,19,4096,RSA-PSS,14,0
1,1,25,4096,RSA-PSS,13,0
1,1,24,2048,RSA-PSS,17,0
1,1,18,2048,RSA-PSS,19,0
1,2,16,2048,RSA-PSS,21,0
1,1,15,3072,RSA-PSS,16,0
1,5,15,4096,RSA-PSS,20,0
1,5,20,4096,RSA-PKCS1v15,6,0
1,4,16,2048,RSA-PKCS1v15,22,0
1,2,5,2048,RSA-PSS,12,0
1,0,7,4096,RSA-PSS,16,0
1,4,21,4096,RSA-PSS,14,0
1,4,14,2048,RSA-PSS,6,0
1,4,15,3072,RSA-PSS,21,0
1,1,21,2048,RSA-PSS,13,0
1,4,25,2048,RSA-PSS,14,0
1,0,16,3072,RSA-PSS,20,0
0,1,25,4096,RSA-PSS,13,0
1,2,16,3072,RSA-PSS,15,0
1,1,5,3072,RSA-PKCS1v15,19,0
1,3,7,4096,RSA-PKCS1v15,10,0
1,1,3,4096,RSA-PSS,22,0
1,5,21,4096,RSA-PSS,22,0
1,2,22,2048,RSA-PSS,12,0
1,0,23,4096,RSA-PSS,13,0
0,2,3,3072,RSA-PSS,21,0
1,3,15,2048,RSA-PSS,22,0
0,0,25,4096,RSA-PSS,13,0
1,1,13,4096,RSA-PSS,17,0
0,5,17,2048,RSA-PSS,19,0
1,4,9,3072,RSA-PSS,7,0
0,0,13,2048,RSA-PSS,22,0
1,2,1,4096,RSA-PSS,11,0
1,1,15,3072,RSA-PSS,17,0
1,1,10,3072,RSA-PSS,19,0
1,0,8,3072,RSA-PKCS1v15,7,0
1,4,17,3072,RSA-PSS,19,0
1,0,5,3072,RSA-PKCS1v15,20,0
1,5,3,4096,RSA-PKCS1v15,9,0
1,5,25,4096,RSA-PSS,20,0
1,5,1,4096,RSA-PSS,18,0
1,5,17,3072,RSA-PKCS1v15,18,0
1,5,6,3072,RSA-PSS,21,0
0,4,12,3072,RSA-PKCS1v15,20,0
0,5,23,4096,RSA-PSS,19,0
1,3,2,4096,RSA-PSS,12,0
0,3,2,4096,RSA-PSS,8,0
1,2,17,4096,RSA-PSS,10,0
1,1,11,4096,RSA-PSS,13,0
1,4,11,2048,RSA-PSS,16,0
0,2,23,3072,RSA-PSS,8,0
1,3,19,3072,RSA-PSS,21,0
1,5,22,2048,RSA-PKCS1v15,19,0
1,0,6,2048,RSA-PSS,13,0
1,4,1,4096,RSA-PSS,14,0
1,4,20,4096,RSA-PSS,6,0
1,3,14,2048,RSA-PSS,21,0
1,4,19,3072,RSA-PKCS1v15,6,0
1,4,21,2048,RSA-PSS,12,0
1,1,17,4096,RSA-PSS,21,0
1,0,1,2048,RSA-PSS,7,0
1,1,15,3072,RSA-PSS,18,0
1,3,4,4096,RSA-PSS,7,0
1,2,22,2048,RSA-PSS,13,0
1,3,22,3072,RSA-PSS,20,0
1,4,20,3072,RSA-PKCS1v15,16,0
1,1,4,2048,RSA-PKCS1v15,19,0
1,1,19,4096,RSA-PSS,12,0
0,3,19,4096,RSA-PSS,10,0
1,2,18,3072,RSA-PSS,20,0
1,1,9,4096,RSA-PSS,10,0
0,0,13,4096,RSA-PSS,22,0
1,5,10,3072,RSA-PKCS1v15,11,0
1,0,16,3072,RSA-PKCS1v15,12,0
1,4,8,4096,RSA-PSS,17,0
1,2,25,3072,RSA-PSS,16,0
1,4,19,2048,RSA-PSS,15,0
1,3,6,2048,RSA-PSS,18,0
1,3,4,4096,RSA-PKCS1v15,18,0
0,4,23,2048,RSA-PSS,9,0
1,0,19,2048,RSA-PSS,19,0
1,3,4,2048,RSA-PKCS1v15,22,0
1,1,5,4096,RSA-PSS,22,0
1,0,15,4096,RSA-PKCS1v15,19,0
0,1,4,3072,RSA-PSS,19,0
1,5,2,3072,RSA-PSS,16,0
1,0,2,4096,RSA-PSS,19,0
1,0,23,4096,RSA-PSS,21,0
1,5,15,3072,RSA-PSS,11,0
1,3,15,4096,RSA-PSS,9,0
1,5,6,3072,RSA-PSS,14,0
1,2,19,3072,RSA-PSS,10,0
1,3,25,3072,RSA-PSS,19,0
1,2,5,3072,RSA-PSS,6,0
1,5,21,3072,RSA-PKCS1v15,10,0
0,5,8,3072,RSA-PSS,17,0
0,3,12,4096,RSA-PKCS1v15,16,0
1,3,8,4096,RSA-PSS,21,0
0,0,17,2048,RSA-PSS,9,0
1,5,17,3072,RSA-PSS,13,0
1,2,5,4096,RSA-PSS,9,0
1,3,16,4096,RSA-PSS,6,0
1,4,21,4096,RSA-PSS,15,0
1,3,20,3072,RSA-PSS,15,0
1,2,2,2048,RSA-PSS,14,0
0,4,9,3072,RSA-PKCS1v15,18,0
1,2,21,2048,RSA-PSS,13,0
1,4,13,2048,RSA-PSS,20,0
1,1,21,2048,RSA-PSS,16,0
1,4,16,3072,RSA-PKCS1v15,17,0
1,4,23,4096,RSA-PSS,6,0
0,2,21,4096,RSA-PSS,15,0
1,2,22,3072,RSA-PSS,18,0
1,5,8,3072,RSA-PSS,7,0
1,5,17,3072,RSA-PSS,15,0
1,3,8,2048,RSA-PSS,13,0
1,5,18,3072,RSA-PSS,16,0
1,2,18,4096,RSA-PSS,8,0
0,3,2,3072,RSA-PSS,6,0
1,1,2,2048,RSA-PKCS1v15,13,0
1,4,2,2048,RSA-PSS,11,0
1,3,5,3072,RSA-PSS,14,0
1,5,8,4096,RSA-PSS,6,0
1,4,12,4096,RSA-PSS,8,0
1,5,21,3072,RSA-PKCS1v15,17,0
1,3,11,3072,RSA-PSS,20,0
1,3,4,4096,RSA-PSS,16,0
1,5,12,3072,RSA-PSS,16,0
0,4,4,4096,RSA-PSS,11,0
1,3,13,4096,RSA-PSS,19,0
1,1,8,2048,RSA-PSS,8,0
1,3,1,3072,RSA-PKCS1v15,11,0
1,1,16,2048,RSA-PSS,19,0
1,3,11,2048,RSA-PSS,6,0
1,1,9,3072,RSA-PSS,18,0
1,0,19,3072,RSA-PSS,13,0
1,3,11,3072,RSA-PSS,10,0
1,0,13,2048,RSA-PSS,14,0
0,0,17,4096,RSA-PKCS1v15,16,0
1,0,4,3072,RSA-PKCS1v15,21,0
1,1,3,2048,RSA-PKCS1v15,16,0
1,2,14,3072,RSA-PSS,17,0
1,3,17,2048,RSA-PSS,19,0
1,3,17,3072,RSA-PSS,8,0
1,4,14,4096,RSA-PSS,14,0
0,4,6,3072,RSA-PSS,8,0
1,0,25,3072,RSA-PSS,13,0
0,0,10,3072,RSA-PSS,21,0
1,3,13,4096,RSA-PSS,8,0
1,4,6,4096,RSA-PSS,9,0
1,1,4,2048,RSA-PKCS1v15,9,0
1,5,12,2048,RSA-PSS,15,0
1,3,10,3072,RSA-PSS,11,0
1,0,25,4096,RSA-PSS,13,0
0,4,11,2048,RSA-PSS,12,0
1,1,19,4096,RSA-PKCS1v15,22,0
1,5,14,3072,RSA-PSS,20,0
1,5,17,2048,RSA-PSS,7,0
1,5,5,3072,RSA-PSS,9,0
1,3,1,3072,RSA-PSS,12,0
1,1,25,4096,RSA-PSS,12,0
1,2,13,2048,RSA-PKCS1v15,15,0
