verification_result,failed_attempts,verification_frequency,key_size,algorithm,hour,signature_size,certificate_valid,source_frequency,failed_verification_rate,document_size,metadata_anomaly,replay_indicator,key_age_days,time_since_previous,threat
0,13,28,2048,RSA-PKCS1v15,15,459,1,39,0.4642857142857143,1966,0,0,229,669,1
1,4,7,4096,RSA-PKCS1v15,19,378,1,21,0.5714285714285714,3870,0,0,30,962,0
0,5,8,3072,RSA-PKCS1v15,2,825,1,15,0.625,2785,0,0,1649,571,1
1,21,35,3072,RSA-PKCS1v15,5,702,1,34,0.6,3299,0,1,335,604,1
1,13,14,4096,RSA-PKCS1v15,0,968,1,27,0.9285714285714286,1778,1,0,660,944,1
1,17,17,2048,RSA-PKCS1v15,20,746,0,2,1.0,2433,0,0,569,260,1
1,1,4,2048,RSA-PKCS1v15,15,688,1,10,0.25,4536,0,0,177,51,0
0,1,2,3072,RSA-PSS,14,879,1,5,0.5,3706,0,0,824,133,1
0,4,6,3072,RSA-PSS,6,383,1,27,0.6666666666666666,792,0,0,568,679,1
1,2,4,4096,RSA-PSS,1,803,1,4,0.5,3788,0,0,409,809,0
0,29,29,4096,RSA-PKCS1v15,9,1001,0,47,1.0,964,0,0,777,5,1
1,5,18,2048,RSA-PKCS1v15,14,302,1,13,0.2777777777777778,2002,1,1,1261,648,1
0,7,26,2048,RSA-PKCS1v15,5,760,1,17,0.2692307692307692,1669,1,0,1302,738,1
1,32,34,2048,RSA-PSS,1,370,1,21,0.9411764705882353,150,0,0,77,502,1
1,0,10,2048,RSA-PSS,23,671,1,23,0.0,729,0,1,933,184,0
0,10,14,4096,RSA-PSS,23,1022,0,33,0.7142857142857143,1660,0,0,636,409,1
1,12,31,4096,RSA-PSS,16,478,1,50,0.3870967741935484,3583,0,0,540,91,1
1,1,15,3072,RSA-PSS,0,891,1,15,0.06666666666666667,3484,0,0,1678,436,0
0,5,8,1024,RSA-PKCS1v15,0,758,1,14,0.625,1025,0,0,1182,820,1
1,8,14,2048,RSA-PSS,3,927,1,9,0.5714285714285714,4393,1,0,1191,903,1
1,15,23,2048,RSA-PKCS1v15,19,351,1,44,0.6521739130434783,352,0,0,1209,189,1
1,3,21,4096,RSA-PKCS1v15,15,362,0,37,0.14285714285714285,3193,0,0,1413,996,1
0,2,16,2048,RSA-PKCS1v15,7,887,1,30,0.125,2711,1,0,12,480,1
1,15,18,4096,RSA-PSS,0,868,1,29,0.8333333333333334,985,1,0,1955,981,1
1,23,24,3072,RSA-PSS,18,870,1,23,0.9583333333333334,2593,0,1,169,815,1
0,26,26,3072,RSA-PKCS1v15,10,933,1,34,1.0,3130,0,0,831,383,1
1,25,25,2048,RSA-PSS,16,953,1,7,1.0,1833,0,0,1450,850,1
1,29,29,3072,RSA-PSS,9,287,0,9,1.0,4436,0,0,1917,322,1
1,8,15,3072,RSA-PKCS1v15,11,748,1,50,0.5333333333333333,4470,0,0,449,443,1
1,1,1,4096,RSA-PKCS1v15,8,321,1,4,1.0,20,0,0,1518,490,0
0,10,25,2048,RSA-PKCS1v15,6,434,0,2,0.4,4614,0,0,449,133,1
1,4,7,3072,RSA-PKCS1v15,11,698,1,27,0.5714285714285714,2637,0,0,1130,684,0
0,8,9,3072,RSA-PKCS1v15,14,804,1,33,0.8888888888888888,1478,0,0,1790,426,1
0,17,24,2048,RSA-PSS,7,456,1,32,0.7083333333333334,1123,0,1,427,250,1
1,0,1,2048,RSA-PKCS1v15,16,304,1,44,0.0,631,1,0,956,61,0
1,6,8,4096,RSA-PSS,4,935,1,45,0.75,910,0,0,916,959,1
1,22,24,1024,RSA-PSS,13,518,1,46,0.9166666666666666,3757,0,0,1122,562,1
0,5,11,2048,RSA-PKCS1v15,1,388,1,37,0.45454545454545453,4074,0,0,631,422,1
1,17,17,2048,RSA-PKCS1v15,15,599,1,27,1.0,1481,0,0,226,476,1
1,5,8,3072,RSA-PSS,16,431,0,28,0.625,3113,1,0,447,223,1
0,3,35,2048,RSA-PKCS1v15,2,646,1,3,0.08571428571428572,336,0,0,1911,438,1
1,28,35,3072,RSA-PSS,22,266,1,36,0.8,83,0,0,1688,684,1
0,33,33,2048,RSA-PKCS1v15,0,456,1,49,1.0,260,0,1,1500,920,1
1,0,5,2048,RSA-PKCS1v15,17,258,1,43,0.0,2507,0,0,203,384,0
1,10,28,3072,RSA-PSS,17,469,1,8,0.35714285714285715,2412,0,1,968,319,1
1,2,7,2048,RSA-PSS,3,562,1,44,0.2857142857142857,4638,0,0,675,225,0
1,4,9,4096,RSA-PKCS1v15,14,799,1,50,0.4444444444444444,305,0,0,1321,423,0
1,1,8,1024,RSA-PKCS1v15,18,815,1,50,0.125,307,0,0,634,908,0
0,1,12,2048,RSA-PKCS1v15,18,582,1,41,0.08333333333333333,311,0,0,16,191,1
1,7,34,2048,RSA-PSS,9,1019,1,37,0.20588235294117646,4617,0,0,1402,871,1
1,12,33,2048,RSA-PKCS1v15,4,454,1,49,0.36363636363636365,594,0,0,1360,777,1
1,9,23,4096,RSA-PKCS1v15,18,856,1,45,0.391304347826087,3634,0,0,618,756,1
1,7,24,4096,RSA-PKCS1v15,10,364,1,38,0.2916666666666667,1644,0,0,1798,79,1
1,29,35,1024,RSA-PKCS1v15,6,546,1,22,0.8285714285714286,62,0,0,1044,855,1
1,3,22,3072,RSA-PSS,4,363,1,14,0.13636363636363635,2286,0,0,440,365,0
1,14,27,3072,RSA-PSS,19,663,1,15,0.5185185185185185,2697,0,0,1268,22,1
1,29,35,2048,RSA-PSS,11,807,1,46,0.8285714285714286,2854,0,0,1268,548,1
1,0,1,2048,RSA-PKCS1v15,18,307,1,4,0.0,4896,0,0,971,330,0
1,16,35,4096,RSA-PKCS1v15,14,367,1,18,0.45714285714285713,4600,0,0,392,156,0
1,10,14,4096,RSA-PKCS1v15,11,550,1,1,0.7142857142857143,4958,0,0,724,56,1
1,3,3,4096,RSA-PSS,3,835,1,12,1.0,2728,0,0,736,867,0
1,1,1,4096,RSA-PSS,11,444,1,41,1.0,3945,0,0,1889,248,0
0,1,5,3072,RSA-PSS,17,976,1,42,0.2,672,0,0,1286,925,1
1,21,26,2048,RSA-PSS,16,320,1,50,0.8076923076923077,17,0,0,220,261,1
1,12,14,2048,RSA-PKCS1v15,18,829,1,17,0.8571428571428571,3693,0,0,1032,772,1
0,21,27,2048,RSA-PSS,15,720,1,19,0.7777777777777778,3097,0,0,446,435,1
0,8,9,3072,RSA-PSS,10,513,1,36,0.8888888888888888,4771,0,0,14,527,1
1,4,15,4096,RSA-PKCS1v15,1,901,1,48,0.26666666666666666,678,0,0,387,478,0
1,9,15,4096,RSA-PSS,15,889,1,7,0.6,3174,0,0,642,700,1
1,3,26,4096,RSA-PKCS1v15,0,586,1,9,0.11538461538461539,1295,1,0,1046,538,0
1,4,13,4096,RSA-PKCS1v15,16,756,1,8,0.3076923076923077,3630,1,0,225,535,0
1,27,32,4096,RSA-PKCS1v15,17,938,1,25,0.84375,170,0,0,235,381,1
1,27,32,2048,RSA-PKCS1v15,12,465,1,7,0.84375,2408,1,0,1365,103,1
0,1,4,4096,RSA-PKCS1v15,4,344,1,42,0.25,3255,1,0,1990,29,1
0,30,30,3072,RSA-PSS,23,934,1,8,1.0,27,1,0,1000,854,1
1,10,23,2048,RSA-PSS,5,283,1,24,0.43478260869565216,2543,0,0,711,483,0
1,4,15,4096,RSA-PKCS1v15,0,493,1,17,0.26666666666666666,4456,0,0,1158,57,0
0,23,29,4096,RSA-PSS,9,591,1,12,0.7931034482758621,2585,0,0,1202,62,1
1,9,13,2048,RSA-PKCS1v15,4,318,1,46,0.6923076923076923,4977,0,0,1580,955,1
0,1,32,1024,RSA-PSS,0,1022,1,31,0.03125,2327,0,1,1544,48,1
1,6,7,3072,RSA-PSS,22,808,1,12,0.8571428571428571,2928,0,0,792,367,1
1,7,22,3072,RSA-PSS,10,755,1,2,0.3181818181818182,1063,0,0,1563,978,0
1,15,28,4096,RSA-PSS,23,796,1,12,0.5357142857142857,325,0,0,437,547,1
1,2,2,2048,RSA-PSS,23,724,1,27,1.0,4842,0,0,1075,558,0
1,5,6,2048,RSA-PSS,6,847,1,46,0.8333333333333334,2221,0,0,1948,545,1
1,4,28,2048,RSA-PSS,17,306,0,7,0.14285714285714285,329,0,0,1467,327,1
1,26,28,1024,RSA-PKCS1v15,20,367,1,13,0.9285714285714286,4537,0,0,581,738,1
1,2,20,1024,RSA-PKCS1v15,19,556,1,36,0.1,2725,0,0,1993,266,0
1,11,30,4096,RSA-PKCS1v15,20,345,1,1,0.36666666666666664,643,0,0,1305,728,0
1,9,11,2048,RSA-PSS,9,484,1,49,0.8181818181818182,1715,0,0,1068,729,1
1,3,28,2048,RSA-PSS,14,405,1,35,0.10714285714285714,4830,0,0,687,176,0
1,8,25,1024,RSA-PKCS1v15,3,1010,1,30,0.32,682,0,0,1655,44,1
0,26,33,2048,RSA-PKCS1v15,15,393,1,31,0.7878787878787878,2289,0,0,365,219,1
0,1,1,4096,RSA-PSS,14,390,0,17,1.0,3557,0,0,1912,126,1
1,18,27,3072,RSA-PKCS1v15,14,712,1,8,0.6666666666666666,480,0,0,269,882,1
1,0,13,4096,RSA-PKCS1v15,11,856,0,3,0.0,3241,0,0,1717,966,0
1,3,3,2048,RSA-PKCS1v15,7,749,1,10,1.0,2617,0,0,1589,379,0
0,0,6,2048,RSA-PKCS1v15,7,782,1,34,0.0,3342,0,0,1317,319,0
1,6,8,3072,RSA-PSS,17,588,1,22,0.75,2630,0,0,1727,305,1
1,16,27,2048,RSA-PKCS1v15,5,617,1,4,0.5925925925925926,4707,0,0,1218,200,1
1,2,9,4096,RSA-PKCS1v15,4,429,1,32,0.2222222222222222,1392,0,1,1395,85,0
1,19,33,2048,RSA-PKCS1v15,1,857,0,29,0.5757575757575758,4385,0,0,1576,41,1
1,19,24,3072,RSA-PKCS1v15,11,468,1,46,0.7916666666666666,1195,0,0,78,723,1
1,4,15,2048,RSA-PSS,3,598,1,11,0.26666666666666666,1920,0,0,189,866,0
1,29,32,3072,RSA-PKCS1v15,22,316,1,46,0.90625,925,0,0,1631,551,1
1,26,32,4096,RSA-PKCS1v15,12,987,1,13,0.8125,1627,1,0,1414,363,1
1,13,24,3072,RSA-PKCS1v15,16,316,0,4,0.5416666666666666,1693,0,1,1049,919,1
1,0,12,3072,RSA-PKCS1v15,15,933,1,2,0.0,2435,0,0,1639,269,0
1,1,2,4096,RSA-PKCS1v15,8,779,1,34,0.5,435,0,1,1326,362,1
0,0,3,3072,RSA-PSS,0,471,1,43,0.0,1797,0,0,671,367,1
0,17,17,2048,RSA-PKCS1v15,14,844,1,22,1.0,2594,0,0,358,181,1
1,0,2,2048,RSA-PKCS1v15,11,999,1,5,0.0,4658,0,1,1744,231,0
1,1,2,3072,RSA-PSS,4,879,1,9,0.5,178,0,1,959,988,1
1,0,28,3072,RSA-PKCS1v15,22,833,1,20,0.0,524,0,0,1883,70,0
0,12,23,2048,RSA-PSS,23,949,1,21,0.5217391304347826,3445,0,1,1118,825,1
1,19,32,2048,RSA-PKCS1v15,17,678,1,17,0.59375,4535,1,0,1860,588,1
1,22,33,4096,RSA-PSS,19,971,1,12,0.6666666666666666,2626,0,1,1575,963,1
0,1,1,2048,RSA-PSS,1,678,0,28,1.0,2387,0,1,336,944,1
1,10,19,2048,RSA-PKCS1v15,3,626,1,18,0.5263157894736842,700,0,0,1188,788,1
0,0,2,2048,RSA-PSS,14,461,1,3,0.0,3214,0,0,903,489,0
1,8,26,4096,RSA-PKCS1v15,5,541,1,5,0.3076923076923077,2514,0,0,341,234,0
1,4,32,2048,RSA-PSS,21,360,1,14,0.125,362,0,0,834,830,0
1,1,6,3072,RSA-PSS,11,1009,1,48,0.16666666666666666,1127,0,0,567,429,0
1,0,32,2048,RSA-PKCS1v15,17,1002,0,26,0.0,1415,0,0,72,831,1
1,0,4,3072,RSA-PSS,19,943,1,19,0.0,3949,0,0,1066,648,0
1,5,11,4096,RSA-PKCS1v15,3,978,1,41,0.45454545454545453,4184,0,0,411,666,0
0,1,17,2048,RSA-PSS,0,798,1,17,0.058823529411764705,687,0,0,898,294,0
0,23,24,3072,RSA-PSS,14,1002,1,39,0.9583333333333334,560,0,0,838,348,1
1,4,5,2048,RSA-PKCS1v15,17,497,1,42,0.8,829,0,0,644,99,0
1,28,34,2048,RSA-PKCS1v15,13,746,1,4,0.8235294117647058,223,0,0,21,876,1
1,3,6,4096,RSA-PSS,2,920,1,42,0.5,1676,0,0,1025,361,0
1,4,22,2048,RSA-PKCS1v15,14,963,0,35,0.18181818181818182,4774,0,0,678,937,1
1,10,11,3072,RSA-PKCS1v15,4,753,1,24,0.9090909090909091,903,0,0,1596,875,1
1,2,16,2048,RSA-PSS,23,690,1,41,0.125,4264,0,0,1100,358,0
1,11,33,2048,RSA-PSS,21,739,1,13,0.3333333333333333,4086,0,0,603,130,0
1,9,9,2048,RSA-PKCS1v15,2,702,0,33,1.0,3915,0,0,1422,519,1
1,2,6,3072,RSA-PSS,21,639,1,15,0.3333333333333333,2796,0,0,1743,383,0
1,12,16,3072,RSA-PKCS1v15,6,765,1,15,0.75,2258,0,0,88,617,1
0,27,29,3072,RSA-PKCS1v15,5,425,1,31,0.9310344827586207,31,0,0,1618,921,1
0,2,3,2048,RSA-PKCS1v15,21,578,1,43,0.6666666666666666,3323,0,0,17,819,1
1,14,20,1024,RSA-PKCS1v15,0,729,1,28,0.7,1271,0,0,1353,562,1
1,6,19,4096,RSA-PKCS1v15,18,487,1,10,0.3157894736842105,1182,0,0,943,736,0
0,25,26,4096,RSA-PKCS1v15,6,951,1,7,0.9615384615384616,4890,0,0,1234,64,1
1,3,3,2048,RSA-PSS,3,614,1,33,1.0,2064,0,0,824,396,0
1,4,19,3072,RSA-PKCS1v15,11,530,1,7,0.21052631578947367,1902,0,0,383,181,0
1,20,20,2048,RSA-PSS,19,287,1,5,1.0,2825,0,0,1589,587,1
0,13,32,4096,RSA-PKCS1v15,22,432,1,26,0.40625,4684,0,0,640,778,1
0,3,7,4096,RSA-PSS,17,320,1,16,0.42857142857142855,4594,0,0,1170,189,0
1,22,33,4096,RSA-PSS,8,965,1,8,0.6666666666666666,1797,0,0,453,183,1
1,9,18,4096,RSA-PSS,18,282,1,22,0.5,2000,0,0,816,867,1
1,1,1,2048,RSA-PKCS1v15,21,918,1,34,1.0,4327,0,0,1417,492,0
1,1,11,4096,RSA-PSS,3,734,1,40,0.09090909090909091,2470,0,0,310,580,0
0,19,28,3072,RSA-PSS,0,523,1,28,0.6785714285714286,2641,0,0,931,170,1
0,12,25,2048,RSA-PKCS1v15,8,852,1,46,0.48,2278,0,0,492,322,1
1,7,23,3072,RSA-PSS,14,321,1,36,0.30434782608695654,2186,0,0,760,172,1
0,8,31,4096,RSA-PSS,21,388,1,47,0.25806451612903225,886,0,0,1454,284,1
1,15,30,4096,RSA-PKCS1v15,7,621,1,7,0.5,3502,0,0,1,619,1
1,18,35,2048,RSA-PSS,14,337,1,40,0.5142857142857142,4268,0,0,41,366,1
0,7,7,3072,RSA-PSS,14,583,1,43,1.0,964,0,0,1609,111,1
0,6,16,4096,RSA-PKCS1v15,17,353,1,28,0.375,4129,0,0,672,78,1
1,13,26,2048,RSA-PSS,6,840,1,2,0.5,4298,0,0,212,698,1
1,1,2,3072,RSA-PSS,21,582,1,9,0.5,887,0,0,1357,253,0
0,0,1,3072,RSA-PSS,17,797,1,6,0.0,4495,0,0,1832,236,0
1,10,12,2048,RSA-PSS,15,380,1,1,0.8333333333333334,2554,0,0,1675,93,1
1,3,5,2048,RSA-PKCS1v15,1,465,1,3,0.6,2186,0,1,1470,642,1
1,14,32,3072,RSA-PKCS1v15,3,980,1,10,0.4375,2610,0,0,1966,695,0
1,2,9,4096,RSA-PKCS1v15,19,388,1,37,0.2222222222222222,3117,0,1,304,34,1
1,0,35,3072,RSA-PKCS1v15,15,758,1,44,0.0,3538,1,0,1579,481,1
1,2,19,4096,RSA-PSS,2,412,1,23,0.10526315789473684,2418,1,0,691,404,0
1,14,16,2048,RSA-PKCS1v15,23,814,1,33,0.875,4870,0,0,1725,815,1
1,3,3,2048,RSA-PKCS1v15,22,637,1,9,1.0,1983,1,0,1782,222,1
1,7,20,3072,RSA-PSS,1,277,1,13,0.35,3958,0,0,1834,886,0
0,3,24,2048,RSA-PSS,2,850,1,28,0.125,1248,1,0,1178,896,1
0,33,33,4096,RSA-PSS,4,674,1,7,1.0,2344,0,0,616,490,1
1,23,24,2048,RSA-PKCS1v15,1,727,1,26,0.9583333333333334,777,0,0,523,794,1
1,7,11,2048,RSA-PSS,18,489,1,16,0.6363636363636364,2426,0,0,25,340,1
1,3,8,2048,RSA-PSS,23,827,1,40,0.375,3555,0,0,808,513,0
1,2,20,4096,RSA-PSS,19,709,1,26,0.1,2319,0,0,25,961,0
1,33,35,2048,RSA-PKCS1v15,1,955,1,39,0.9428571428571428,4893,0,0,596,985,1
1,24,25,1024,RSA-PKCS1v15,1,825,1,32,0.96,4216,1,0,1130,609,1
1,22,35,2048,RSA-PKCS1v15,21,417,1,36,0.6285714285714286,4246,0,0,1777,599,1
1,20,25,4096,RSA-PKCS1v15,23,556,0,42,0.8,754,0,0,1143,843,1
0,23,29,2048,RSA-PKCS1v15,22,561,1,1,0.7931034482758621,2592,0,0,1995,252,1
0,12,18,2048,RSA-PKCS1v15,19,257,1,49,0.6666666666666666,4184,0,0,108,364,1
1,4,18,2048,RSA-PKCS1v15,17,526,1,21,0.2222222222222222,1527,0,0,1354,527,0
0,2,2,3072,RSA-PSS,19,676,1,13,1.0,2566,0,0,180,142,1
1,5,35,2048,RSA-PSS,20,398,1,26,0.14285714285714285,4171,1,0,881,311,1
1,4,16,2048,RSA-PSS,13,955,1,45,0.25,3993,0,0,131,385,0
1,9,33,2048,RSA-PKCS1v15,14,991,0,9,0.2727272727272727,1404,0,0,1831,801,1
0,4,4,3072,RSA-PKCS1v15,11,947,1,37,1.0,296,0,0,603,582,1
1,19,33,3072,RSA-PSS,10,790,0,23,0.5757575757575758,3257,0,0,1955,312,1
1,2,14,3072,RSA-PSS,10,292,1,1,0.14285714285714285,4228,0,0,753,279,0
1,18,21,4096,RSA-PKCS1v15,6,362,1,2,0.8571428571428571,2612,0,0,759,566,1
1,14,20,4096,RSA-PKCS1v15,11,552,1,43,0.7,13,0,0,168,346,1
1,3,8,2048,RSA-PKCS1v15,15,996,1,28,0.375,421,0,0,223,387,0
1,3,7,4096,RSA-PKCS1v15,4,352,1,36,0.42857142857142855,4355,0,1,469,302,1
1,3,3,3072,RSA-PKCS1v15,1,536,1,31,1.0,3737,0,0,278,764,0
0,5,17,4096,RSA-PKCS1v15,21,365,1,41,0.29411764705882354,1927,0,0,190,507,1
1,4,33,2048,RSA-PKCS1v15,15,804,1,5,0.12121212121212122,1366,0,0,531,247,0
1,12,12,3072,RSA-PKCS1v15,22,807,1,37,1.0,167,0,0,1550,646,1
1,22,22,2048,RSA-PSS,14,852,1,25,1.0,1610,0,0,1779,488,1
1,17,22,4096,RSA-PKCS1v15,10,443,0,8,0.7727272727272727,2894,0,0,621,756,1
1,29,30,2048,RSA-PKCS1v15,5,1007,1,34,0.9666666666666667,3499,0,0,1970,921,1
1,4,8,2048,RSA-PKCS1v15,12,743,1,39,0.5,2392,0,0,1214,239,0
1,24,27,2048,RSA-PSS,18,609,1,49,0.8888888888888888,162,0,0,218,529,1
1,15,27,2048,RSA-PSS,9,274,1,32,0.5555555555555556,1639,0,0,1323,924,1
1,26,34,3072,RSA-PKCS1v15,23,648,1,11,0.7647058823529411,2806,1,0,1335,928,1
1,18,21,2048,RSA-PSS,18,516,1,47,0.8571428571428571,2891,0,0,236,349,1
1,13,30,2048,RSA-PSS,4,665,1,25,0.43333333333333335,3812,0,1,168,791,1
1,15,33,4096,RSA-PSS,20,658,1,3,0.45454545454545453,2815,0,0,780,745,0
1,23,28,2048,RSA-PKCS1v15,6,925,1,45,0.8214285714285714,4090,0,0,193,912,1
0,21,33,3072,RSA-PKCS1v15,10,739,1,50,0.6363636363636364,3480,0,0,242,352,1
1,4,5,2048,RSA-PKCS1v15,13,559,1,32,0.8,1065,0,0,1186,154,0
1,7,19,2048,RSA-PKCS1v15,22,879,1,35,0.3684210526315789,2589,0,0,1900,510,0
1,0,4,4096,RSA-PKCS1v15,20,911,1,32,0.0,4158,0,0,1363,929,0
1,15,35,4096,RSA-PKCS1v15,15,1023,1,34,0.42857142857142855,2775,0,0,791,186,0
1,9,17,2048,RSA-PKCS1v15,17,273,1,37,0.5294117647058824,1338,0,0,455,944,1
1,9,28,4096,RSA-PSS,20,439,1,5,0.32142857142857145,4054,1,0,1159,595,1
1,26,30,4096,RSA-PKCS1v15,22,660,1,45,0.8666666666666667,2402,0,0,193,567,1
1,1,29,4096,RSA-PKCS1v15,22,386,0,28,0.034482758620689655,3163,0,0,1426,425,1
0,6,6,2048,RSA-PKCS1v15,3,734,1,28,1.0,10,0,0,392,62,1
1,8,35,2048,RSA-PKCS1v15,0,1012,1,8,0.22857142857142856,176,0,0,601,401,0
1,16,24,3072,RSA-PKCS1v15,21,263,1,27,0.6666666666666666,3264,0,0,1066,870,1
1,10,29,3072,RSA-PKCS1v15,14,960,1,16,0.3448275862068966,1895,0,0,93,59,0
1,31,31,2048,RSA-PKCS1v15,13,573,1,18,1.0,4378,0,1,1239,142,1
1,9,35,4096,RSA-PKCS1v15,18,646,1,25,0.2571428571428571,909,1,1,349,466,1
1,21,33,1024,RSA-PSS,4,774,1,48,0.6363636363636364,2258,0,0,513,149,1
1,16,21,3072,RSA-PSS,3,391,1,1,0.7619047619047619,3273,0,0,1359,447,1
1,3,32,2048,RSA-PKCS1v15,12,786,1,8,0.09375,3422,0,0,1423,174,0
1,15,23,3072,RSA-PKCS1v15,17,906,0,21,0.6521739130434783,3587,0,0,924,311,1
1,24,33,2048,RSA-PSS,11,622,1,34,0.7272727272727273,2197,0,0,1188,62,1
0,2,3,4096,RSA-PKCS1v15,22,744,1,24,0.6666666666666666,1229,0,0,106,167,1
1,4,18,3072,RSA-PKCS1v15,20,944,1,37,0.2222222222222222,3142,0,0,1256,682,0
0,5,25,4096,RSA-PSS,14,266,1,26,0.2,369,0,0,992,816,1
0,16,31,4096,RSA-PKCS1v15,22,808,1,47,0.5161290322580645,2049,0,0,1582,103,1
1,0,3,3072,RSA-PKCS1v15,8,701,1,14,0.0,3947,1,0,717,28,0
0,24,24,4096,RSA-PKCS1v15,3,369,0,29,1.0,3164,0,0,1557,596,1
0,16,32,1024,RSA-PSS,4,947,1,30,0.5,343,0,0,1201,508,1
1,8,22,2048,RSA-PSS,8,961,1,3,0.36363636363636365,740,0,0,1703,134,0
0,23,23,2048,RSA-PKCS1v15,12,451,1,7,1.0,1507,0,0,1318,59,1
0,1,2,2048,RSA-PSS,9,992,1,36,0.5,1427,0,0,1289,90,1
1,7,27,4096,RSA-PSS,15,578,1,11,0.25925925925925924,3773,0,0,788,70,0
0,2,2,1024,RSA-PSS,12,767,1,32,1.0,1753,0,0,1876,935,1
1,6,26,3072,RSA-PKCS1v15,3,883,1,12,0.23076923076923078,4126,0,0,1544,185,0
0,5,17,3072,RSA-PSS,20,917,1,15,0.29411764705882354,1983,0,0,1294,438,1
1,0,33,3072,RSA-PSS,12,885,1,38,0.0,888,0,0,1854,572,0
1,6,9,3072,RSA-PSS,20,420,1,24,0.6666666666666666,4282,1,0,1236,474,1
1,25,29,4096,RSA-PKCS1v15,7,507,1,1,0.8620689655172413,2894,1,1,1187,657,1
1,6,26,2048,RSA-PSS,12,299,1,18,0.23076923076923078,3017,0,0,823,168,0
1,16,35,2048,RSA-PSS,14,725,1,46,0.45714285714285713,2605,0,0,1581,578,1
1,1,25,3072,RSA-PKCS1v15,19,744,1,7,0.04,2307,0,0,917,883,0
0,8,24,3072,RSA-PSS,19,436,1,42,0.3333333333333333,670,0,0,1769,124,1
1,12,13,2048,RSA-PSS,12,332,1,41,0.9230769230769231,3154,0,0,1077,213,1
1,0,7,4096,RSA-PSS,22,629,1,2,0.0,3172,1,0,1257,182,0
